City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
0,punta arenas,CL,41.11,70,75,18.41,-53.15,-70.9167,1687027278
1,bilibino,RU,41.85,66,100,6.8,68.0546,166.4372,1687027370
2,elbistan,TR,69.67,54,0,5.95,38.2059,37.1983,1687027753
3,sur,OM,87.75,66,74,8.32,22.5667,59.5289,1687027372
4,bredasdorp,ZA,52.68,75,0,9.98,-34.5322,20.0403,1687027367
5,kerben,KG,77.5,30,97,2.86,40.2951,72.1863,1687027753
6,ar rutbah,IQ,89.65,18,5,9.8,33.0381,40.2848,1687027753
7,holualoa,US,77.56,78,20,4.61,19.6228,-155.9522,1687027374
8,colonia,DE,81.82,33,0,3.44,50.9333,6.95,1687027382
9,lazaro cardenas,MX,91.53,55,86,10.56,17.9583,-102.2,1687027370
10,port elizabeth,ZA,59.09,93,100,18.41,-33.918,25.5701,1687027368
11,hilo,US,86.29,83,75,6.91,19.7297,-155.09,1687027578
12,wailua homesteads,US,77.86,80,75,11.5,22.0669,-159.378,1687027367
13,palikir - national government center,FM,81.55,79,100,14.65,6.9248,158.1611,1687027409
14,ndele,CF,77.81,73,99,2.35,8.4109,20.6473,1687027411
15,levuka,CA,75.02,45,100,10.09,50.1834,-105.4011,1687027401
16,adamstown,PN,71.78,74,9,8.72,-25.066,-130.1015,1687027368
17,madera,US,93.87,32,0,5.86,37.1666,-119.8343,1687027547
18,rio do sul,BR,67.39,57,0,3.2,-27.2142,-49.6431,1687027754
19,shingu,JP,68.7,79,100,5.99,33.7333,135.9833,1687027754
20,ebon,MH,81.28,80,97,12.73,4.582,168.6964,1687027754
21,grytviken,GS,32.4,88,48,10.78,-54.2811,-36.5092,1687027368
22,puerto natales,CL,41.45,65,40,14.97,-51.7236,-72.4875,1687027369
23,afif,SA,86.83,9,0,12.01,23.9065,42.9172,1687027404
24,puerto ayora,EC,87.76,87,100,13.0,-0.7393,-90.3518,1687027370
25,namdrik,MH,82.38,78,100,15.5,5.5994,168.1028,1687027755
26,angaur state,PW,81.5,77,100,3.09,6.906,134.13,1687027755
27,ghadamis,LY,87.62,15,0,8.59,30.1337,9.5007,1687027755
28,port-aux-francais,TF,40.64,71,17,21.03,-49.35,70.2167,1687027367
29,plastun,RU,56.35,67,0,7.65,44.7561,136.2939,1687027755
30,haiku-pauwela,US,80.17,59,20,7.0,20.9219,-156.3051,1687027372
31,sodra sandby,SE,60.66,94,100,16.44,56.5667,16.6167,1687027755
32,ostrov,RU,65.93,53,99,4.99,57.3439,28.3537,1687027755
33,bethel,US,76.01,53,40,9.22,41.3712,-73.414,1687027370
34,hithadhoo,MV,82.26,73,93,5.12,-0.6,73.0833,1687027404
35,vila velha,BR,76.95,87,40,13.8,-20.3297,-40.2925,1687027660
36,vadso,NO,52.68,70,20,10.36,70.0744,29.7487,1687027384
37,blackmans bay,AU,46.53,78,65,4.72,-43.0167,147.3167,1687027369
38,macapa,BR,80.58,94,100,2.3,0.0389,-51.0664,1687027622
39,luderitz,NA,57.24,90,45,7.63,-26.6481,15.1594,1687027381
40,ilulissat,GL,35.62,64,75,2.3,69.2167,-51.1,1687027386
41,west island,CC,78.78,83,23,6.91,-12.1568,96.8225,1687027370
42,hingoli,IN,89.42,41,38,15.3,19.7167,77.15,1687027756
43,talnakh,RU,45.21,90,96,6.62,69.4865,88.3972,1687027371
44,petropavlovsk-kamchatsky,RU,45.19,100,100,6.71,53.0452,158.6483,1687027371
45,vacaria,BR,48.67,71,2,7.16,-28.5122,-50.9339,1687027756
